,m,n,c,contigious,A,runtime,optimal_x,optimal_p,solver
20,10,20,2,False,"[[1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0]
 [0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0]
 [1 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1]
 [1 1 0 0 1 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1]
 [1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 1 1 0 0]
 [1 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 0 0 1 1]
 [1 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0]
 [0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0]
 [1 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 1 1 1]
 [1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1]]",0.002384662628173828,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],10,bruteforce
21,10,20,2,False,"[[1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0]
 [0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0]
 [1 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1]
 [1 1 0 0 1 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1]
 [1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 1 1 0 0]
 [1 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 0 0 1 1]
 [1 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0]
 [0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0]
 [1 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 1 1 1]
 [1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1]]",1.2430846691131592,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0.],10.0,mainsolver
22,10,20,2,True,"[[1 1 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 1 1 1]
 [1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 0 1 0]
 [0 1 1 1 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0]
 [1 1 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 0 0 0]
 [0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 1]
 [0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1]
 [0 0 0 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 0]
 [0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1]
 [0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0]
 [0 0 1 0 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1]]",0.0007309913635253906,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],10,bruteforce
23,10,20,2,True,"[[1 1 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 1 1 1]
 [1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 0 1 0]
 [0 1 1 1 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0]
 [1 1 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 0 0 0]
 [0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 1]
 [0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1]
 [0 0 0 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 0]
 [0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1]
 [0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0]
 [0 0 1 0 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1]]",1.4263575077056885,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],10.0,mainsolver
24,10,20,4,False,"[[0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 1 0 1 1 1]
 [0 1 0 1 0 0 0 1 0 0 1 1 1 0 0 1 1 1 1 1]
 [1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0]
 [0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0]
 [0 1 1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1]
 [0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 0]
 [0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1]
 [0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 0 0]
 [1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 0]
 [1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 0 0 1]]",0.05647873878479004,[1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],10,bruteforce
25,10,20,4,False,"[[0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 1 0 1 1 1]
 [0 1 0 1 0 0 0 1 0 0 1 1 1 0 0 1 1 1 1 1]
 [1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0]
 [0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0]
 [0 1 1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1]
 [0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 0]
 [0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1]
 [0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 0 0]
 [1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 0]
 [1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 0 0 1]]",1.3002126216888428,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.],10.0,mainsolver
26,10,20,4,True,"[[1 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 0 1 1]
 [1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 1]
 [0 0 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 1]
 [0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 1 1 0 1 1]
 [1 0 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0 1 1]
 [0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 1 0]
 [0 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 1 1 1 1]
 [1 0 0 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0]
 [0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1]
 [0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1]]",0.0006833076477050781,[1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],10,bruteforce
27,10,20,4,True,"[[1 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 0 1 1]
 [1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 1]
 [0 0 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 1]
 [0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 1 1 0 1 1]
 [1 0 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0 1 1]
 [0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 1 0]
 [0 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 1 1 1 1]
 [1 0 0 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0]
 [0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1]
 [0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1]]",1.3291223049163818,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],10.0,mainsolver
28,10,20,8,False,"[[1 1 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 0 1]
 [1 1 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 1 1 0]
 [0 0 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0]
 [1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 1 1]
 [1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1 0]
 [0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 1]
 [1 1 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 0 0 1]
 [0 1 0 0 1 0 1 0 0 0 1 1 0 1 1 1 0 0 1 1]
 [1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0]
 [0 0 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 0]]",1.4550342559814453,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],10,bruteforce
29,10,20,8,False,"[[1 1 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 0 1]
 [1 1 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 1 1 0]
 [0 0 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0]
 [1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 1 1]
 [1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1 0]
 [0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 1]
 [1 1 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 0 0 1]
 [0 1 0 0 1 0 1 0 0 0 1 1 0 1 1 1 0 0 1 1]
 [1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0]
 [0 0 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 0]]",1.2145702838897705,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0.],10.0,mainsolver
